age,gender,marital_status,dependents,education,employment_type,city_tier,residence_type,monthly_income,cibil_score,existing_loans_count,credit_history_length_years,bank_balance,loan_amount,loan_term_months,loan_purpose,debt_to_income_ratio,loan_approved
43,Female,Married,1,Graduate,Business Owner,Tier 2,Owned,76000,667,1,8.3,383000,515000,180,Vehicle,0.081,Approved
38,Female,Married,4,Graduate,Salaried,Tier 2,Owned,44000,578,1,14.6,242000,112000,180,Debt Consolidation,0.031,Approved
49,Female,Married,1,Graduate,Salaried,Tier 2,Rented,64000,666,0,9.2,59000,142000,60,Education,0.049,Approved
45,Male,Married,0,Graduate,Salaried,Tier 3,Rented,15000,687,0,18.1,74000,113000,24,Wedding,0.355,Approved
40,Female,Single,0,Not Graduate,Business Owner,Tier 3,Owned,15000,571,1,9.0,88000,903000,24,Education,2.834,Rejected
55,Male,Single,0,Graduate,Salaried,Tier 1,Owned,18000,680,1,26.1,14000,121000,48,Business Expansion,0.177,Approved
30,Male,Single,4,Not Graduate,Salaried,Tier 3,Owned,41000,631,0,2.8,226000,466000,60,Medical,0.253,Rejected
26,Male,Married,0,Not Graduate,Business Owner,Tier 2,Owned,54000,615,1,2.2,310000,148000,240,Business Expansion,0.03,Approved
28,Male,Married,3,Not Graduate,Self-Employed,Tier 2,Living with Parents,54000,629,0,2.4,84000,231000,120,Business Expansion,0.061,Rejected
50,Male,Single,2,Not Graduate,Salaried,Tier 2,Rented,67000,735,0,21.8,147000,471000,48,Wedding,0.185,Approved
48,Male,Married,1,Graduate,Salaried,Tier 1,Owned,14000,735,0,11.2,30000,261000,48,Business Expansion,0.491,Approved
30,Male,Married,3,Not Graduate,Business Owner,Tier 3,Owned,21000,600,0,7.7,120000,203000,12,Medical,0.859,Rejected
21,Female,Married,1,Graduate,Business Owner,Tier 1,Owned,44000,612,0,0.0,26000,857000,12,Home Renovation,1.731,Rejected
33,Male,Single,0,Not Graduate,Salaried,Tier 2,Rented,58000,574,2,8.8,207000,73000,48,Wedding,0.033,Rejected
25,Male,Single,0,Not Graduate,Salaried,Tier 1,Rented,54000,673,2,3.2,199000,125000,12,Wedding,0.206,Approved
30,Male,Married,4,Graduate,Business Owner,Tier 3,Living with Parents,171000,628,1,7.8,699000,182000,24,Medical,0.05,Approved
25,Female,Married,3,Not Graduate,Business Owner,Tier 3,Rented,22000,634,0,2.3,38000,411000,240,Medical,0.206,Rejected
21,Male,Married,0,Graduate,Business Owner,Tier 1,Rented,84000,627,0,0.0,261000,162000,84,Home Renovation,0.034,Approved
51,Male,Single,0,Graduate,Salaried,Tier 2,Living with Parents,68000,834,1,15.6,188000,393000,48,Wedding,0.152,Approved
28,Male,Single,4,Graduate,Business Owner,Tier 2,Rented,112000,736,1,3.3,308000,78000,180,Business Expansion,0.008,Approved
47,Male,Married,2,Not Graduate,Salaried,Tier 2,Owned,36000,730,2,18.5,84000,438000,24,Wedding,0.573,Approved
33,Male,Married,1,Not Graduate,Salaried,Tier 2,Rented,20000,669,2,6.5,114000,376000,48,Business Expansion,0.495,Rejected
24,Male,Married,0,Not Graduate,Self-Employed,Tier 2,Rented,63000,657,0,1.9,257000,115000,36,Travel,0.061,Approved
39,Male,Married,1,Graduate,Self-Employed,Tier 1,Rented,65000,670,1,7.5,304000,215000,240,Debt Consolidation,0.036,Approved
31,Male,Single,2,Graduate,Business Owner,Tier 2,Owned,69000,627,0,7.3,157000,187000,180,Business Expansion,0.033,Approved
33,Male,Married,2,Not Graduate,Salaried,Tier 2,Owned,84000,630,0,10.6,42000,288000,60,Wedding,0.076,Approved
36,Female,Married,2,Graduate,Business Owner,Tier 2,Owned,44000,641,3,9.3,252000,441000,48,Wedding,0.264,Rejected
27,Male,Single,0,Not Graduate,Salaried,Tier 3,Owned,18000,652,0,3.7,96000,146000,240,Home Renovation,0.089,Rejected
21,Male,Married,2,Graduate,Self-Employed,Tier 1,Living with Parents,75000,621,1,0.0,226000,274000,36,Travel,0.121,Rejected
34,Male,Single,1,Graduate,Salaried,Tier 1,Rented,59000,581,1,5.1,155000,255000,48,Education,0.114,Rejected
43,Female,Single,2,Graduate,Self-Employed,Tier 1,Rented,46000,809,2,11.8,136000,237000,84,Wedding,0.091,Approved
26,Male,Single,1,Not Graduate,Self-Employed,Tier 1,Rented,32000,629,0,2.0,63000,526000,84,Vehicle,0.29,Rejected
36,Male,Single,3,Graduate,Salaried,Tier 1,Rented,61000,769,0,9.4,237000,242000,60,Home Renovation,0.088,Approved
48,Female,Single,1,Graduate,Salaried,Tier 3,Living with Parents,51000,697,1,18.1,299000,106000,240,Business Expansion,0.023,Rejected
34,Male,Single,2,Graduate,Self-Employed,Tier 1,Rented,23000,641,3,11.0,20000,342000,36,Debt Consolidation,0.494,Rejected
35,Male,Married,1,Graduate,Business Owner,Tier 2,Rented,51000,715,2,11.2,247000,574000,60,Education,0.25,Approved
35,Male,Married,1,Graduate,Salaried,Tier 1,Owned,69000,665,1,9.6,57000,239000,120,Medical,0.05,Approved
28,Female,Single,1,Graduate,Salaried,Tier 2,Living with Parents,108000,683,1,5.4,564000,494000,36,Travel,0.152,Approved
26,Male,Single,0,Not Graduate,Salaried,Tier 3,Living with Parents,33000,626,0,3.4,43000,171000,180,Business Expansion,0.062,Approved
26,Female,Married,0,Graduate,Unemployed,Tier 1,Living with Parents,29000,557,1,3.2,93000,282000,60,Business Expansion,0.216,Rejected
38,Female,Single,2,Not Graduate,Salaried,Tier 3,Owned,51000,748,1,5.6,168000,86000,48,Debt Consolidation,0.044,Approved
41,Male,Single,1,Not Graduate,Salaried,Tier 3,Owned,51000,638,3,6.3,202000,152000,60,Education,0.066,Approved
42,Male,Married,1,Graduate,Business Owner,Tier 2,Owned,32000,664,0,17.0,123000,243000,180,Medical,0.091,Approved
31,Male,Married,0,Graduate,Self-Employed,Tier 1,Rented,216000,773,2,4.7,942000,328000,240,Vehicle,0.017,Approved
44,Male,Married,3,Not Graduate,Salaried,Tier 2,Rented,42000,676,2,11.7,217000,285000,36,Home Renovation,0.225,Approved
37,Male,Married,1,Graduate,Unemployed,Tier 3,Owned,9000,522,1,9.1,6000,474000,180,Education,0.632,Rejected
35,Female,Single,1,Graduate,Self-Employed,Tier 1,Rented,56000,703,1,4.6,255000,88000,12,Debt Consolidation,0.14,Approved
21,Female,Married,2,Graduate,Salaried,Tier 2,Owned,79000,631,4,0.0,62000,531000,12,Medical,0.597,Rejected
27,Female,Single,2,Not Graduate,Salaried,Tier 1,Living with Parents,147000,683,3,2.2,715000,143000,60,Wedding,0.022,Approved
21,Male,Married,0,Graduate,Business Owner,Tier 1,Owned,90000,646,1,0.0,438000,105000,60,Vehicle,0.026,Approved
40,Female,Single,3,Not Graduate,Salaried,Tier 3,Owned,26000,620,2,13.8,40000,409000,48,Vehicle,0.414,Rejected
35,Female,Married,1,Not Graduate,Salaried,Tier 2,Rented,102000,697,0,12.1,168000,113000,36,Home Renovation,0.037,Approved
25,Female,Single,0,Graduate,Salaried,Tier 1,Rented,25000,690,0,1.3,23000,513000,60,Home Renovation,0.456,Rejected
37,Male,Married,4,Graduate,Business Owner,Tier 2,Owned,34000,638,0,9.1,62000,59000,12,Home Renovation,0.154,Rejected
22,Female,Married,5,Graduate,Self-Employed,Tier 1,Living with Parents,26000,564,0,0.9,84000,140000,48,Travel,0.142,Rejected
25,Male,Married,1,Graduate,Self-Employed,Tier 1,Rented,45000,631,2,2.8,119000,372000,48,Debt Consolidation,0.218,Rejected
28,Male,Married,2,Graduate,Salaried,Tier 2,Living with Parents,70000,643,0,4.4,121000,329000,24,Home Renovation,0.221,Approved
39,Male,Married,1,Graduate,Self-Employed,Tier 2,Living with Parents,39000,667,2,12.7,153000,45000,60,Wedding,0.026,Rejected
47,Female,Married,0,Graduate,Business Owner,Tier 1,Rented,65000,776,2,10.7,219000,148000,84,Vehicle,0.04,Approved
29,Female,Married,0,Graduate,Salaried,Tier 1,Living with Parents,61000,672,2,6.0,73000,78000,120,Wedding,0.018,Approved
46,Male,Married,1,Graduate,Business Owner,Tier 2,Living with Parents,44000,781,3,11.6,100000,239000,48,Home Renovation,0.143,Approved
35,Male,Married,0,Not Graduate,Salaried,Tier 3,Living with Parents,17000,668,2,6.6,96000,227000,36,Education,0.444,Rejected
37,Male,Married,0,Graduate,Business Owner,Tier 3,Living with Parents,16000,679,4,10.5,67000,189000,36,Debt Consolidation,0.392,Rejected
34,Male,Married,0,Not Graduate,Salaried,Tier 1,Living with Parents,103000,785,0,4.1,590000,206000,60,Debt Consolidation,0.044,Approved
33,Male,Married,1,Graduate,Self-Employed,Tier 2,Rented,31000,673,1,4.0,93000,113000,48,Medical,0.096,Approved
38,Male,Married,2,Graduate,Unemployed,Tier 3,Owned,8000,574,2,5.3,5000,141000,36,Education,0.585,Rejected
41,Female,Married,2,Graduate,Unemployed,Tier 2,Living with Parents,8000,553,3,15.2,39000,417000,60,Vehicle,1.159,Rejected
27,Male,Married,1,Graduate,Salaried,Tier 3,Rented,30000,600,1,1.9,31000,164000,60,Vehicle,0.122,Approved
33,Male,Single,4,Graduate,Salaried,Tier 3,Owned,43000,633,0,4.3,244000,156000,36,Wedding,0.12,Approved
50,Male,Married,2,Not Graduate,Salaried,Tier 1,Owned,41000,702,1,19.3,90000,435000,48,Travel,0.279,Approved
36,Female,Married,1,Not Graduate,Business Owner,Tier 1,Rented,76000,591,2,8.8,313000,108000,84,Medical,0.025,Rejected
37,Female,Married,2,Graduate,Self-Employed,Tier 1,Rented,19000,657,0,8.3,98000,534000,48,Home Renovation,0.74,Rejected
45,Female,Married,4,Graduate,Salaried,Tier 1,Owned,55000,572,0,12.3,166000,562000,48,Home Renovation,0.269,Rejected
30,Male,Single,0,Graduate,Salaried,Tier 3,Owned,26000,707,0,7.3,75000,119000,60,Education,0.102,Approved
34,Female,Married,2,Graduate,Unemployed,Tier 3,Rented,8000,488,2,4.5,12000,382000,24,Travel,2.248,Rejected
42,Male,Married,2,Graduate,Self-Employed,Tier 1,Owned,23000,686,1,18.0,104000,60000,180,Debt Consolidation,0.031,Approved
46,Female,Married,0,Graduate,Salaried,Tier 2,Rented,25000,706,1,11.0,59000,234000,36,Medical,0.311,Approved
21,Female,Single,0,Graduate,Salaried,Tier 2,Rented,21000,677,1,0.0,83000,120000,84,Wedding,0.101,Approved
28,Female,Married,0,Graduate,Salaried,Tier 2,Rented,49000,660,0,6.1,91000,298000,36,Travel,0.202,Approved
26,Female,Married,1,Graduate,Self-Employed,Tier 2,Owned,56000,642,0,3.4,256000,265000,60,Home Renovation,0.105,Approved
33,Female,Single,2,Graduate,Unemployed,Tier 3,Owned,9000,586,0,5.4,39000,186000,36,Vehicle,0.686,Rejected
26,Male,Single,2,Graduate,Business Owner,Tier 1,Rented,77000,624,1,4.4,42000,114000,84,Home Renovation,0.026,Approved
40,Female,Single,1,Not Graduate,Salaried,Tier 1,Rented,21000,650,1,15.0,22000,381000,24,Medical,0.854,Rejected
36,Male,Married,0,Graduate,Business Owner,Tier 1,Owned,83000,699,0,7.3,79000,216000,36,Business Expansion,0.086,Approved
43,Male,Single,1,Not Graduate,Salaried,Tier 2,Owned,58000,688,1,14.5,40000,144000,60,Travel,0.055,Approved
43,Male,Single,2,Not Graduate,Salaried,Tier 1,Living with Parents,58000,726,5,13.9,48000,161000,60,Vehicle,0.062,Rejected
41,Male,Married,1,Not Graduate,Unemployed,Tier 2,Living with Parents,10000,564,1,13.4,23000,207000,24,Wedding,0.974,Rejected
31,Male,Single,1,Not Graduate,Salaried,Tier 2,Rented,27000,692,1,3.7,127000,207000,36,Home Renovation,0.255,Approved
35,Male,Single,1,Not Graduate,Salaried,Tier 3,Owned,39000,690,0,9.6,134000,265000,24,Vehicle,0.32,Approved
30,Male,Married,1,Not Graduate,Unemployed,Tier 2,Owned,8000,565,0,3.9,9000,390000,120,Wedding,0.699,Rejected
22,Male,Married,1,Graduate,Salaried,Tier 1,Owned,83000,571,1,0.5,65000,412000,240,Medical,0.055,Approved
43,Male,Married,1,Graduate,Business Owner,Tier 3,Owned,47000,735,0,13.8,50000,192000,36,Business Expansion,0.136,Approved
34,Male,Married,2,Not Graduate,Unemployed,Tier 3,Rented,8000,661,2,5.6,20000,284000,60,Wedding,0.79,Rejected
21,Male,Married,0,Not Graduate,Salaried,Tier 1,Rented,42000,608,1,0.0,91000,195000,60,Wedding,0.103,Rejected
39,Male,Married,2,Not Graduate,Salaried,Tier 1,Owned,46000,719,2,9.9,203000,455000,24,Vehicle,0.466,Approved
32,Female,Single,0,Not Graduate,Salaried,Tier 3,Living with Parents,30000,653,1,4.4,118000,203000,84,Home Renovation,0.119,Rejected
21,Female,Single,1,Not Graduate,Salaried,Tier 1,Rented,48000,578,0,0.0,255000,236000,60,Vehicle,0.109,Rejected
22,Female,Married,0,Not Graduate,Salaried,Tier 1,Rented,25000,588,0,0.8,143000,216000,60,Debt Consolidation,0.192,Rejected
28,Female,Single,0,Not Graduate,Business Owner,Tier 2,Living with Parents,57000,652,1,5.6,29000,290000,12,Education,0.452,Rejected
36,Male,Married,1,Graduate,Salaried,Tier 1,Rented,55000,698,4,5.2,97000,321000,12,Vehicle,0.519,Rejected
42,Female,Married,3,Not Graduate,Salaried,Tier 1,Living with Parents,26000,610,0,13.1,24000,504000,240,Vehicle,0.213,Rejected
41,Male,Single,2,Not Graduate,Self-Employed,Tier 2,Owned,50000,657,1,13.8,109000,454000,240,Debt Consolidation,0.1,Rejected
40,Male,Single,2,Not Graduate,Self-Employed,Tier 3,Owned,35000,680,0,16.1,132000,225000,12,Home Renovation,0.571,Rejected
34,Female,Single,1,Not Graduate,Business Owner,Tier 3,Rented,25000,601,1,4.3,49000,214000,60,Travel,0.19,Rejected
50,Male,Married,3,Graduate,Salaried,Tier 3,Rented,45000,729,0,14.7,69000,192000,12,Debt Consolidation,0.379,Approved
41,Female,Married,3,Graduate,Business Owner,Tier 1,Owned,131000,779,1,7.4,344000,402000,120,Business Expansion,0.044,Approved
36,Female,Married,2,Not Graduate,Self-Employed,Tier 1,Rented,40000,664,2,8.4,24000,255000,12,Medical,0.566,Rejected
40,Female,Single,0,Graduate,Salaried,Tier 3,Owned,34000,719,0,9.9,199000,962000,60,Education,0.629,Approved
31,Female,Married,1,Graduate,Salaried,Tier 2,Rented,80000,611,2,6.6,466000,211000,60,Home Renovation,0.059,Approved
34,Male,Married,1,Graduate,Salaried,Tier 1,Rented,15000,620,0,9.2,19000,547000,24,Business Expansion,1.717,Rejected
21,Male,Single,1,Not Graduate,Self-Employed,Tier 1,Rented,156000,693,2,0.0,240000,550000,60,Home Renovation,0.078,Approved
31,Female,Married,1,Not Graduate,Salaried,Tier 1,Rented,52000,600,0,4.0,188000,542000,240,Debt Consolidation,0.115,Approved
50,Male,Married,4,Not Graduate,Unemployed,Tier 2,Living with Parents,15000,595,2,22.6,33000,180000,24,Wedding,0.565,Rejected
36,Female,Single,1,Not Graduate,Self-Employed,Tier 1,Owned,22000,713,1,12.1,12000,209000,84,Education,0.168,Rejected
35,Female,Married,1,Graduate,Unemployed,Tier 3,Living with Parents,8000,553,0,8.9,6000,199000,36,Travel,0.826,Rejected
43,Female,Single,1,Graduate,Salaried,Tier 1,Owned,30000,599,0,17.0,126000,532000,36,Wedding,0.589,Rejected
38,Male,Married,3,Graduate,Salaried,Tier 3,Rented,18000,631,2,8.7,30000,168000,60,Wedding,0.208,Rejected
27,Male,Single,2,Not Graduate,Salaried,Tier 3,Rented,9000,691,0,1.9,31000,155000,180,Home Renovation,0.207,Rejected
35,Male,Married,0,Graduate,Salaried,Tier 2,Living with Parents,21000,726,1,5.5,42000,333000,36,Debt Consolidation,0.527,Rejected
24,Male,Married,0,Not Graduate,Business Owner,Tier 2,Rented,32000,630,0,1.2,108000,99000,240,Medical,0.034,Approved
36,Female,Married,2,Graduate,Salaried,Tier 2,Living with Parents,18000,643,2,12.4,108000,348000,24,Travel,0.91,Rejected
27,Male,Married,2,Graduate,Salaried,Tier 1,Owned,114000,764,1,5.2,490000,111000,240,Home Renovation,0.011,Approved
43,Male,Married,1,Not Graduate,Salaried,Tier 1,Living with Parents,71000,663,1,11.9,171000,172000,12,Debt Consolidation,0.215,Approved
30,Male,Married,1,Graduate,Salaried,Tier 2,Owned,27000,617,1,6.2,157000,439000,24,Travel,0.765,Rejected
27,Female,Married,2,Not Graduate,Business Owner,Tier 2,Owned,69000,697,0,2.9,48000,157000,240,Vehicle,0.025,Approved
33,Female,Married,0,Graduate,Self-Employed,Tier 2,Owned,53000,633,3,6.8,76000,264000,36,Medical,0.165,Approved
38,Male,Married,2,Graduate,Self-Employed,Tier 2,Rented,17000,676,0,11.4,55000,454000,12,Debt Consolidation,2.373,Rejected
24,Male,Married,0,Graduate,Salaried,Tier 2,Rented,51000,587,1,2.4,107000,111000,180,Education,0.026,Rejected
30,Male,Married,0,Graduate,Unemployed,Tier 2,Owned,8000,635,1,5.0,36000,244000,180,Medical,0.366,Rejected
35,Male,Married,1,Not Graduate,Self-Employed,Tier 2,Owned,65000,658,2,10.1,45000,324000,84,Education,0.088,Approved
47,Female,Married,2,Graduate,Salaried,Tier 2,Rented,22000,663,2,11.7,44000,94000,240,Wedding,0.047,Approved
21,Female,Single,0,Graduate,Salaried,Tier 3,Living with Parents,43000,592,0,0.0,224000,118000,36,Home Renovation,0.091,Rejected
40,Male,Single,1,Graduate,Business Owner,Tier 2,Rented,89000,648,1,8.2,241000,579000,60,Travel,0.145,Approved
31,Male,Single,1,Graduate,Self-Employed,Tier 2,Rented,55000,646,0,8.2,89000,110000,84,Home Renovation,0.035,Approved
30,Female,Married,0,Not Graduate,Self-Employed,Tier 2,Rented,16000,534,3,3.3,54000,178000,240,Travel,0.122,Rejected
28,Male,Single,2,Graduate,Salaried,Tier 2,Rented,155000,618,0,5.3,390000,66000,180,Vehicle,0.005,Approved
31,Female,Married,0,Graduate,Salaried,Tier 2,Living with Parents,56000,667,2,6.8,115000,137000,12,Travel,0.217,Approved
40,Male,Married,1,Not Graduate,Self-Employed,Tier 1,Rented,48000,692,2,13.1,248000,350000,36,Travel,0.242,Rejected
30,Male,Single,2,Graduate,Self-Employed,Tier 3,Rented,50000,650,0,7.4,259000,390000,60,Home Renovation,0.174,Approved
49,Male,Married,2,Graduate,Salaried,Tier 1,Living with Parents,160000,701,0,17.3,448000,354000,180,Medical,0.027,Approved
40,Male,Single,2,Graduate,Self-Employed,Tier 2,Living with Parents,20000,737,0,6.6,76000,215000,36,Vehicle,0.357,Approved
36,Female,Single,0,Not Graduate,Salaried,Tier 1,Owned,92000,730,2,12.9,410000,115000,12,Debt Consolidation,0.111,Approved
33,Male,Married,2,Not Graduate,Business Owner,Tier 1,Rented,57000,660,2,6.0,249000,282000,24,Debt Consolidation,0.233,Rejected
45,Male,Married,0,Not Graduate,Unemployed,Tier 3,Rented,8000,611,1,7.6,19000,169000,48,Home Renovation,0.556,Rejected
47,Male,Married,3,Not Graduate,Business Owner,Tier 2,Rented,44000,680,1,16.1,182000,84000,12,Vehicle,0.17,Approved
24,Male,Single,2,Graduate,Salaried,Tier 3,Rented,10000,576,1,1.5,56000,224000,12,Home Renovation,1.99,Rejected
28,Male,Married,3,Not Graduate,Salaried,Tier 1,Rented,65000,640,0,5.9,52000,471000,48,Debt Consolidation,0.191,Approved
40,Male,Single,3,Graduate,Business Owner,Tier 1,Owned,17000,704,2,11.5,15000,428000,60,Travel,0.56,Rejected
43,Female,Single,0,Not Graduate,Self-Employed,Tier 1,Owned,41000,679,1,7.3,213000,445000,84,Debt Consolidation,0.192,Approved
32,Male,Single,2,Graduate,Self-Employed,Tier 2,Living with Parents,33000,710,0,4.9,126000,263000,60,Home Renovation,0.177,Approved
28,Male,Single,0,Graduate,Unemployed,Tier 3,Rented,8000,532,2,3.0,5000,126000,48,Business Expansion,0.415,Rejected
35,Female,Single,1,Not Graduate,Self-Employed,Tier 2,Living with Parents,13000,716,2,10.6,61000,312000,12,Wedding,2.132,Rejected
48,Male,Single,1,Not Graduate,Salaried,Tier 2,Living with Parents,65000,706,1,9.2,71000,241000,36,Business Expansion,0.123,Approved
35,Female,Married,2,Graduate,Salaried,Tier 3,Rented,12000,674,1,6.9,61000,188000,84,Home Renovation,0.277,Approved
23,Male,Single,0,Graduate,Salaried,Tier 1,Living with Parents,30000,732,0,1.4,95000,328000,48,Travel,0.288,Approved
35,Female,Single,1,Graduate,Salaried,Tier 2,Owned,30000,773,0,9.4,63000,289000,36,Home Renovation,0.32,Approved
42,Female,Single,2,Not Graduate,Business Owner,Tier 2,Rented,42000,628,1,14.5,164000,151000,36,Travel,0.119,Approved
34,Female,Married,3,Not Graduate,Salaried,Tier 1,Rented,62000,712,0,8.3,90000,147000,12,Medical,0.211,Approved
46,Female,Single,1,Graduate,Salaried,Tier 1,Rented,51000,666,1,10.1,176000,110000,120,Education,0.031,Approved
42,Male,Married,0,Not Graduate,Business Owner,Tier 1,Owned,181000,739,0,14.8,578000,256000,180,Medical,0.017,Approved
34,Female,Married,1,Not Graduate,Self-Employed,Tier 3,Owned,43000,689,0,11.3,78000,379000,48,Travel,0.232,Approved
35,Male,Single,0,Graduate,Self-Employed,Tier 2,Owned,51000,716,1,4.5,213000,154000,84,Vehicle,0.053,Approved
21,Male,Married,1,Not Graduate,Salaried,Tier 3,Rented,23000,557,0,0.0,56000,116000,12,Debt Consolidation,0.448,Rejected
45,Male,Single,0,Graduate,Business Owner,Tier 2,Living with Parents,59000,659,1,11.4,305000,297000,180,Vehicle,0.06,Approved
32,Male,Married,2,Not Graduate,Salaried,Tier 2,Living with Parents,31000,614,0,4.3,30000,567000,180,Home Renovation,0.22,Approved
31,Male,Single,0,Graduate,Salaried,Tier 2,Owned,31000,682,2,4.6,147000,725000,24,Home Renovation,1.101,Rejected
30,Male,Single,2,Graduate,Salaried,Tier 3,Owned,184000,688,1,2.8,535000,545000,120,Wedding,0.042,Approved
39,Male,Single,1,Graduate,Salaried,Tier 1,Owned,117000,720,0,12.3,259000,213000,48,Home Renovation,0.048,Approved
24,Female,Married,1,Graduate,Salaried,Tier 1,Rented,31000,576,1,2.0,176000,128000,84,Medical,0.073,Rejected
26,Female,Single,1,Not Graduate,Self-Employed,Tier 2,Living with Parents,63000,656,2,3.0,101000,316000,48,Medical,0.132,Approved
34,Male,Single,5,Graduate,Salaried,Tier 3,Living with Parents,37000,619,0,6.3,105000,211000,12,Medical,0.507,Rejected
29,Male,Married,1,Graduate,Self-Employed,Tier 3,Owned,25000,614,1,7.1,76000,195000,120,Medical,0.112,Rejected
38,Male,Married,1,Not Graduate,Salaried,Tier 2,Owned,126000,694,0,11.4,269000,687000,24,Education,0.257,Approved
29,Male,Married,0,Graduate,Salaried,Tier 1,Owned,45000,588,0,6.7,45000,504000,48,Business Expansion,0.295,Rejected
49,Male,Single,3,Graduate,Salaried,Tier 1,Owned,107000,747,0,13.5,586000,322000,240,Travel,0.033,Approved
41,Male,Married,3,Not Graduate,Unemployed,Tier 3,Living with Parents,8000,527,1,15.1,43000,207000,48,Medical,0.681,Rejected
41,Male,Married,2,Not Graduate,Business Owner,Tier 2,Rented,92000,681,1,6.1,364000,221000,120,Medical,0.034,Approved
29,Female,Single,1,Graduate,Unemployed,Tier 1,Rented,26000,615,2,5.6,59000,87000,24,Vehicle,0.158,Rejected
56,Male,Married,1,Graduate,Self-Employed,Tier 3,Rented,21000,657,0,26.2,83000,412000,120,Business Expansion,0.281,Rejected
31,Male,Married,2,Not Graduate,Self-Employed,Tier 1,Owned,46000,592,1,4.6,267000,478000,48,Business Expansion,0.274,Rejected
28,Female,Married,2,Graduate,Self-Employed,Tier 2,Owned,42000,690,3,6.3,225000,139000,60,Debt Consolidation,0.074,Approved
41,Male,Single,0,Graduate,Self-Employed,Tier 2,Owned,108000,662,0,12.0,152000,151000,240,Debt Consolidation,0.015,Approved
36,Male,Married,1,Graduate,Salaried,Tier 1,Rented,118000,735,1,7.8,589000,394000,180,Debt Consolidation,0.04,Approved
27,Female,Single,1,Graduate,Self-Employed,Tier 1,Living with Parents,44000,665,1,2.5,215000,181000,36,Travel,0.137,Approved
54,Male,Married,0,Not Graduate,Salaried,Tier 1,Rented,41000,674,3,13.0,227000,434000,240,Vehicle,0.117,Approved
43,Male,Single,1,Not Graduate,Salaried,Tier 2,Owned,46000,705,0,9.3,35000,137000,24,Vehicle,0.14,Approved
35,Female,Married,1,Not Graduate,Self-Employed,Tier 2,Rented,19000,676,1,8.7,90000,182000,12,Business Expansion,0.851,Rejected
56,Female,Married,1,Not Graduate,Salaried,Tier 1,Owned,101000,690,3,21.8,354000,300000,60,Business Expansion,0.066,Approved
42,Female,Single,2,Graduate,Salaried,Tier 3,Owned,20000,678,2,13.0,69000,181000,120,Home Renovation,0.13,Rejected
34,Male,Married,2,Graduate,Salaried,Tier 1,Rented,53000,705,2,10.6,128000,175000,36,Vehicle,0.11,Approved
55,Female,Married,0,Not Graduate,Unemployed,Tier 1,Rented,27000,666,2,10.2,130000,172000,24,Debt Consolidation,0.3,Rejected
40,Male,Single,2,Graduate,Salaried,Tier 1,Living with Parents,64000,696,1,8.7,181000,333000,120,Home Renovation,0.075,Approved
40,Male,Married,2,Graduate,Salaried,Tier 1,Rented,40000,675,2,15.8,99000,392000,240,Vehicle,0.108,Rejected
31,Male,Married,2,Not Graduate,Business Owner,Tier 3,Owned,23000,688,0,3.6,133000,295000,84,Medical,0.226,Approved
35,Male,Single,1,Graduate,Salaried,Tier 1,Owned,49000,668,2,5.8,149000,145000,240,Vehicle,0.033,Approved
31,Male,Single,1,Graduate,Salaried,Tier 2,Owned,34000,622,0,5.0,165000,499000,120,Debt Consolidation,0.211,Rejected
47,Male,Single,3,Not Graduate,Salaried,Tier 3,Owned,136000,711,1,20.5,172000,256000,36,Wedding,0.063,Approved
21,Female,Single,0,Not Graduate,Salaried,Tier 2,Owned,26000,550,0,0.0,119000,413000,24,Home Renovation,0.748,Rejected
47,Female,Married,1,Graduate,Salaried,Tier 2,Rented,30000,567,0,16.5,126000,101000,120,Medical,0.048,Rejected
27,Female,Single,2,Not Graduate,Salaried,Tier 3,Owned,19000,589,0,5.1,63000,443000,84,Business Expansion,0.412,Rejected
34,Male,Married,2,Graduate,Salaried,Tier 2,Living with Parents,35000,728,1,7.7,44000,176000,120,Debt Consolidation,0.072,Approved
32,Female,Married,3,Graduate,Business Owner,Tier 1,Rented,84000,711,0,9.6,98000,168000,84,Medical,0.035,Approved
30,Male,Single,3,Not Graduate,Self-Employed,Tier 2,Owned,26000,563,1,3.4,110000,280000,60,Debt Consolidation,0.24,Rejected
41,Female,Married,1,Not Graduate,Self-Employed,Tier 3,Rented,43000,642,3,10.8,224000,64000,240,Medical,0.016,Rejected
34,Male,Married,1,Graduate,Salaried,Tier 2,Rented,21000,626,0,10.3,76000,271000,120,Business Expansion,0.185,Rejected
28,Female,Married,1,Graduate,Salaried,Tier 2,Rented,67000,647,0,2.7,203000,186000,12,Vehicle,0.247,Approved
36,Male,Single,0,Graduate,Business Owner,Tier 3,Owned,31000,625,0,6.1,104000,513000,84,Travel,0.292,Rejected
28,Female,Single,1,Graduate,Salaried,Tier 2,Living with Parents,34000,616,1,3.7,46000,259000,60,Travel,0.169,Approved
30,Female,Married,3,Graduate,Business Owner,Tier 1,Owned,136000,713,0,7.7,107000,121000,24,Travel,0.042,Approved
21,Male,Married,2,Graduate,Salaried,Tier 1,Living with Parents,39000,575,0,0.0,197000,136000,48,Home Renovation,0.092,Rejected
30,Male,Married,0,Graduate,Business Owner,Tier 2,Owned,62000,690,2,7.9,320000,50000,60,Medical,0.018,Approved
39,Female,Married,1,Graduate,Salaried,Tier 1,Rented,74000,727,1,12.7,344000,943000,48,Medical,0.336,Approved
